"Below target quantity",,,,,,
"Pos","Tgt.","Act.","No.","Item No.","Name","Repair"
"BENDO001","S/N:","003","LAPSC AESOP COLLAR HOLDER 3",,,
3,2,1,-1,"2550185","Inserts Aesop",
"BGEN001","S/N:","001","BOWEL SPECIALS GENERAL 1",,,
4,2,1,-1,"SU6130","Clmp Glassman 90Deg",
"BGEN007","S/N:","001","MAJOR BASIC PAN 1 1",,,
40,2,1,-1,"354906","Needle Holder Debakey  11-3/4""",
"S/N:","002","MAJOR BASIC PAN 1 2",,,,
40,2,0,-2,"354906","Needle Holder Debakey  11-3/4""",
"S/N:","007","MAJOR BASIC PAN 1 7",,,,
40,2,0,-2,"354906","Needle Holder Debakey  11-3/4""",
"S/N:","010","MAJOR BASIC PAN 1 10",,,,
7,2,0,-2,"BF463R","Clamp Towel Clip 5-1/8"" Non Perf",
"S/N:","012","MAJOR BASIC PAN 1 12",,,,
39,2,1,-1,"BM037R","Needle Holder Debakey  10""",
52,2,0,-2,"BD671R","Forceps Waugh (Cushing) W/Teeth 8""",
"S/N:","021","MAJOR BASIC PAN 1 21",,,,
52,2,1,-1,"BD671R","Forceps Waugh (Cushing) W/Teeth 8""",
"S/N:","023","MAJOR BASIC PAN 1 23",,,,
31,1,0,-1,"BC558R","Mayo Dissect Scissors Tc 9"" Str Blvd Bld",
"BGEN008","S/N:","006","MAJOR BASIC PAN 2 6",,,
32,2,1,-1,"LC410","Appl Ligaclip  Lrg/Lng (Yellow Handle Cover)",
"S/N:","007","MAJOR BASIC PAN 2 7",,,,
12,1,0,-1,"48-1825","Retractor Deaver Long 1-1/2""",
"BGEN009","S/N:","003","MINOR BASIC 3",,,
10,4,3,-1,"BH443R","Clamp Pean (Kelly) 6-1/4"" Cvd.",
"S/N:","028","MINOR BASIC 28",,,,
13,2,1,-1,"EA031R","Babcock Tissue Clamp 6-3/4""",
"BGEN010","S/N:","003","RECTAL GENERAL 3",,,
12,1,0,-1,"SU860","Stewart Crypt Hook 8-1/2"" Hook 7/8""",
25,1,0,-1,"SU162","Sawyer Rectal Retractor Sm",
26,1,0,-1,"202150","Retractor Sawyer Rectal Small",
27,1,0,-1,"202151","Retractor Sawyer Rectal Med",
"BGEN012","S/N:","003","RETR UPPER HAND 3",,,
2,2,1,-1,"166000","Polyclamp",
"BGEN014","S/N:","002","RECTAL FISTULA GEN 2",,,
6,1,0,-1,"OP7030-034","Williams Lacrimal Probe 5-1/2"" #3/4",
"BGEN021","S/N:","001","RETR PELVIC LTD GEN 1",,,
21,1,0,-1,"E1502","Cautery Tip Extender Reusable (DO NOT THROW AWAY)",
"BGEN024","S/N:","002","SCOPE COLON FLEX GEN 2",,,
4,1,0,-1,"MB358","Biopsy Valve  Semi-Disposable",
5,1,0,-1,"MH438","Air/Water Valve",
6,1,0,-1,"MH443","Suction Valve",
9,1,0,-1,"MAJ-901","Water Container",
10,1,0,-1,"0108","Lid That Has Water Tube Connected To It",
11,1,0,-1,"0109","Green O Ring",
12,1,0,-1,"0110","Bottle (Can Be Opaque Or Clear)",
13,1,0,-1,"0111","Bottle Protector White (For Clear Bottle Only)",
"BGEN025","S/N:","001","RETR THOMPSON BLD GEN 1",,,
23,2,1,-1,"46124","Interchangeable Malleable Retr 2-1/2x10""",
"BGEN028","S/N:","002","DR EVANS ABDOMINAL SPECIALS 2",,,
41,2,1,-1,"FB370R","Clamp 2"" Str Cooley Jaw 21.8cm",
"S/N:","003","DR EVANS ABDOMINAL SPECIALS 3",,,,
41,2,1,-1,"FB370R","Clamp 2"" Str Cooley Jaw 21.8cm",
"BGEN029","S/N:","001","DR EVANS NECK SPECIALS 1",,,
39,2,1,-1,"B3014-1","Forceps Bipolar",
"S/N:","002","DR EVANS NECK SPECIALS 2",,,,
23,2,1,-1,"N4740","Penn Hook Swiv",
"S/N:","003","DR EVANS NECK SPECIALS 3",,,,
24,1,0,-1,"BV070R","Retractor Weitlaner Sm 4-1/2""",
"BGEN031","S/N:","001","CLAMP PROFUNDA SM 1",,,
3,1,0,-1,"6006-70","Needleholder-Micro- Straight Lock (17Cm)",
"S/N:","004","CLAMP PROFUNDA SM 4",,,,
1,2,1,-1,"353494","Gregory Profunda Short Shaft",
"BTRA002","S/N:","003","MAJOR VASCULAR/TRAUMA 3",,,
16,2,1,-1,"37-1141","Clamp Debakey Aorta  10-1/2"" Cvd 85mm",
"CVICU002","S/N:","001","CHEST SET CVICU 1",,,
8,2,1,-1,"BF122R","Clamp Ring Forceps",
16,2,0,-2,"510415","Crile Wood Needle Holder Tc 9""",
"ECANCTR010","S/N:","001","TRACH EMERGENCY HOPE 1",,,
8,1,0,-1,"26-3861","Needle Holder Castro",
"ECLI015","S/N:","002","STEREOTACTIC HEAD FRAME GAMMA KNIFE 2",,,
17,2,0,-2,"60136-01","Ear Bars",
"ECLI037","S/N:","001","I R STRYKER ASNIS 6.5/8.0 SS ""C"" I R 1",,,
2,1,0,-1,"702625","Cleaning Stylet 3.2mm",
25,6,5,-1,"390016","Washer 13mm",
"EDERMCL001","S/N:","002","EXCISION KIT DERM CLINIC 2",,,
2,1,0,-1,"9-100","Spencer Stitch Scissors 3-1/2"" Del",
"S/N:","003","EXCISION KIT DERM CLINIC 3",,,,
5,1,0,-1,"7-8","Halstead Mosquito Clamp 5"" Str Del",
"S/N:","004","EXCISION KIT DERM CLINIC 4",,,,
2,1,0,-1,"9-100","Spencer Stitch Scissors 3-1/2"" Del",
"EDERMCL002","S/N:","001","FACE KIT DERM CLINIC 1",,,
2,1,0,-1,"6-120","Adson Tissue Forceps 4-3/4"" W/th Del",
"S/N:","002","FACE KIT DERM CLINIC 2",,,,
2,1,0,-1,"6-120","Adson Tissue Forceps 4-3/4"" W/th Del",
4,1,0,-1,"105-84-1","Siegel Knife Handle",
"EED004","S/N:","001","THORACOTOMY TRAY 1",,,
11,1,0,-1,"23-8538","Clamp Satinsky",
"EGU022","S/N:","001","JEWITTS SOUNDS STRAIGHT 1",,,
4,1,0,-1,"GU 4060-012","Jewitts Sounds 12 Fr.",
"S/N:","002","JEWITTS SOUNDS STRAIGHT 2",,,,
11,1,0,-1,"GU 4060-026","Jewitts Sounds 26 Fr.",
"EGU029","S/N:","003","LIGASURE APPLIERS 3",,,
5,1,0,-1,"LS2110","Right Angle",
"EGYN006","S/N:","006","D&C 6",,,
10,1,0,-1,"EO085R","Bozemann Douglas Forceps 10-1/4"" S-Cvd",
52,1,0,-1,"212662","Hank Dilator 11/12fr",
"S/N:","007","D&C 7",,,,
10,1,0,-1,"EO085R","Bozemann Douglas Forceps 10-1/4"" S-Cvd",
"EGYN011","S/N:","002","DILATOR SINGLE END 1/2 SZ/GYN 2",,,
2,1,0,-1,"R28-710","1mm   Single - Ended Dilator",
4,1,0,-1,"R28-711","2mm   Single - Ended Dilator",
"EGYN016","S/N:","006","HYSTEROSALPINGOGRAM 6",,,
5,1,0,-1,"ER 876 201","Cannula Acorn Cohn Eder Sm.",
"EGYN024","S/N:","002","LAPSC SUTURING/GYN 2",,,
5,1,0,-1,"600-289","Knot Pusher  5mm",
"EGYN030","S/N:","003","ONCOLOGY/GYN 3",,,
13,1,0,-1,"Z6062GYLX","Nolan         ( 12' )",
"EGYN046","S/N:","005","TAH PAN 1 5",,,
25,1,0,-1,"BC565R","Mayo Scissors 8-1/2"" Cvd",
29,1,0,-1,"BC559R","Scissors Mayo TC 9"" Cvd Blvd Bld",
"EGYN049","S/N:","001","TVH PAN 1 1",,,
3,1,0,-1,"0139","Towel Clip Plastic ( blue or orange) not disposible",
"S/N:","005","TVH PAN 1 5",,,,
44,2,1,-1,"BD511R","Forceps  Adson W/Teeth",
"EGYN077","S/N:","001","MINOR GYN 1",,,
1,1,0,-1,"0139","Towel Clip Plastic ( blue or orange) not disposible",
"EGYN079","S/N:","002","RETR BOOKWALTER CODMAN PAN 1/GYN 2",,,
13,8,7,-1,"C50-4580","Tilt Ratchet Mechanism",
"EL&D001","S/N:","001","CERCLAGE TRAY 1",,,
4,2,1,-1,"500-195","Retractor Heaney Simon Hysterectomy 10-3/4""",
"EL&D003","S/N:","001","D&C INST L & D 1",,,
18,1,0,-1,"BD581R","Tissue Forceps 8"" 2x3/th",
22,1,0,-1,"ER101R","Simon Uterine Scoop 9-1/2"" 6.8mm",
"EL&D011","S/N:","001","VAGINAL DELIVERY SET-UP 1",,,
14,2,0,-2,"EL577R","Jackson Vag Speculum 7"" Concvd 76x38mm",
"S/N:","004","VAGINAL DELIVERY SET-UP 4",,,,
10,1,0,-1,"460620","Scissors Mayo Long Str",
"EORT006","S/N:","001","A/O 3.5MM CANNULATED SCREW SET 1",,,
19,1,0,-1,"319.38","Stylet Cleaning 1.25mm",
55,2,1,-1,"205.032","Screw 32mm",
"EORT007","S/N:","001","A/O 4.0MM CANNULATED SCREW SET 1",,,
26,3,2,-1,"207.626","Screw 26mm",
"S/N:","002","A/O 4.0MM CANNULATED SCREW SET 2",,,,
27,3,2,-1,"207.628","Screw 28mm",
"EORT008","S/N:","001","A/O 4.5MM CANNULATED SCREW SET 1",,,
54,2,1,-1,"214.730","Screw 30mm",
"EORT014","S/N:","001","A/O 7.0MM CANNULATED SCREW SET 1",,,
6,1,0,-1,"319.31","Trocar 2.0mm",
"EORT019","S/N:","001","A/O 7.3MM TI CANNULATED SCREW SET 1",,,
47,2,1,-1,"408.840","Screw 40mm",
"EORT022","S/N:","001","DR RAASCH'S A/O 4.5 NON TAPPING CORTICAL SCREWS 1",,,
10,4,3,-1,"414.032","Screw Cortical 32mm Ti",
17,4,3,-1,"414.046","Screw Cortical 46mm Ti",
"EORT027","S/N:","001","A/O BROKEN SCREW REMOVAL 1",,,
19,1,0,-1,"387.34","Extraction Screw Conical",
"S/N:","002","A/O BROKEN SCREW REMOVAL 2",,,,
19,1,0,-1,"387.34","Extraction Screw Conical",
27,1,0,-1,"309.280","Reamer Tube For 2.7 Screws",
33,1,0,-1,"311.44","T Handle  Quick Coupling",
"EORT028","S/N:","001","A/O CABLE SYSTEM 1",,,
19,1,0,-1,"391.201","Cable Tensioner",
"EORT029","S/N:","001","A/O DCS IMPLANT 1",,,
10,1,0,-1,"281.925","Plate Dcs 12 Hole",
"EORT035","S/N:","001","A/O EXFIX LARGE 1",,,
7,1,0,-1,"393.79","Drill Sleeve",
"S/N:","002","A/O EXFIX LARGE 2",,,,
8,1,0,-1,"394.16","Trocar",
"EORT037","S/N:","001","A/O EXFIX SMALL 1",,,
30,1,0,-1,"395.35","Wrench Comb. 7mm",
36,10,7,-3,"395.57","Clamp 4.0/4.0mm Bar To Bar",
"EORT043","S/N:","001","A/O FRAGMENT LARGE SCREW TITANIUM 1",,,
20,4,3,-1,"414.018","Cort Screw Hex Titn 4.5x18mm",
22,8,6,-2,"414.022","Cort Screw Hex Titn 4.5x22mm",
"EORT044","S/N:","005","A/O FRAGMENT LOCKING SMALL S.S. 5",,,
207,4,3,-1,"312.648","Drill Guide Threaded 2.8mm",
"S/N:","008","A/O FRAGMENT LOCKING SMALL S.S. 8",,,,
191,1,0,-1,"314.03","Screwdriver Shaft Small Hexhead",
"EORT045","S/N:","002","A/O FRAGMENT MINI SS 2",,,
17,1,0,-1,"310.88","Countersink 1.5mm/2.0mm",
27,2,1,-1,"311.43","Handle W/Quick Coupling",
51,2,1,-1,"243.15","Plate 5 Hole Straight",
52,2,1,-1,"243.14","Plate 4 Hole Straight",
"EORT047","S/N:","001","A/O FRAGMENT SMALL NONLOCKING PLATES SS 1",,,
25,1,0,-1,"241.25","Plate 5 Hole",
"EORT048","S/N:","001","A/O FRAGMENT SMALL TI 1",,,
131,6,4,-2,"419.98","Washers  7.0mm",
"EORT052","S/N:","001","A/O LISS INSTRUMENTS & SCREWS 1",,,
14,1,0,-1,"310.423","Drill Bit 4.3mm",
27,14,11,-3,"422.395","Screw 65mm Ti Locking",
"S/N:","002","A/O LISS INSTRUMENTS & SCREWS 2",,,,
8,1,0,-1,"324.055","Insertion Sleeve K-Wire 2.0mm",
10,2,1,-1,"324.033","Pull Reduction Instrument",
17,2,1,-1,"324.022","Insertion Sleeves",
"EORT053","S/N:","002","A/O LISS PROXIMAL TIBIA INST/IMPL 2",,,
2,20,19,-1,"324.019","Stoppers For Liss Insertion Guides",
"EORT058","S/N:","002","A/O LOCKING PERIARTICULAR SCREWS & INST 2",,,
5,4,3,-1,"324.174","Wire Guide 2.5mm For 5.0mm",
"EORT061","S/N:","001","A/O LONG SPINE INSTRUMENTS 1",,,
4,1,0,-1,"389.59","Curette Cvd 9.5mm",
"EORT063","S/N:","001","A/O MODULAR HAND TI SYSTEM ORTHO 1",,,
3,1,0,-1,"398.95","Forceps Termite",
104,1,0,-1,"310.113","Drill Bit 1.1mm J-Latch",
"EORT072","S/N:","001","A/O PLATE ANGLED BLADE INSTRUMENTS 1",,,
7,1,0,-1,"332.06","Router",
"EORT075","S/N:","001","A/O PLATE BLADE/90° CANNULATED SS 1",,,
28,1,0,-1,"237.124S","Plate Blade Cannulated LC-Ang 4.5mm 90° 12 Hole 40mm220mm",
"EORT076","S/N:","001","A/O PLATE DHS EXTRA LONG 1",,,
4,1,0,-1,"281.13","Plate Dhs 135° 14 Hole",
"EORT081","S/N:","003","A/O REDUCTION CLAMP SMALL 3",,,
8,1,0,-1,"398.40","Forceps Reduction  5-1/4"" Narr W/pts W/lock",
"S/N:","006","A/O REDUCTION CLAMP SMALL 6",,,,
4,2,1,-1,"398.81","Forceps Size # 1",
"EORT084","S/N:","002","A/O TFN INSERTION SET 2",,,
10,1,0,-1,"357.391","Ruler Radiographic",
"EORT086","S/N:","002","A/O TIBIAL NAIL EX INST SET 2",,,
17,1,0,-1,"03.010.064","Drill Sleeve 8.0/4.2mm",
"EORT093","S/N:","001","ACL SET 1",,,
34,1,0,-1,"8567","Guide Femoral",
"S/N:","002","ACL SET 2",,,,
34,1,0,-1,"8567","Guide Femoral",
"EORT133","S/N:","001","CASPAR DISTRACTOR ORTHO 1",,,
1,1,0,-1,"FF908R","Pin Drill",
"S/N:","002","CASPAR DISTRACTOR ORTHO 2",,,,
1,1,0,-1,"FF908R","Pin Drill",
"EORT166","S/N:","002","ONCOLOGY KNEE SPECIALS 2",,,
2,1,0,-1,"2820","Retractor Pcl",
"S/N:","003","ONCOLOGY KNEE SPECIALS 3",,,,
8,3,2,-1,"7110","Retractor Hohman  Bent",
"EORT173","S/N:","002","DR NELSEN FREUND KNEE SPECIALS 2",,,
11,1,0,-1,"NL632","Rongeur Leksell",
"EORT175","S/N:","001","DR NINOMIYA HIP SPECIALS 1",,,
17,1,0,-1,"BT504R","Retractor Hibbs  9-1/8"" 3/4x2""",
"EORT185","S/N:","001","ORTHO TRAUMA SPECIALS 1",,,
24,1,0,-1,"314.09","Locking Sleeve For Small Screwdriver",
"S/N:","006","ORTHO TRAUMA SPECIALS 6",,,,
16,1,0,-1,"03.100.018","Ball Spike Str.",
"EORT204","S/N:","001","EXFIX ORTHOFIX MINI RAIL ORTHO 1",,,
6,1,0,-1,"M111","Mini Rail  Horizontal  Articulated",
"EORT207","S/N:","001","EXFIX UNIVERSAL REMOVAL SET 1",,,
2,4,3,-1,"321.160","Wrench Combination 11mm",
"EORT212","S/N:","001","GLOBAL HUMERAL INSTRUMENTS 1",,,
32,1,0,-1,"2128-01-036","Driver Hex Eccentric Trial",
"EORT218","S/N:","001","HUNTER ROD TENDON SPACER SIZERS 1",,,
2,1,0,-1,"113874","Spacer Green 3mm",
"EORT225","S/N:","003","JURGAN PIN BALLS 3",,,
2,1,0,-1,"S200","Screwdriver",
3,6,0,-6,"W028RD","Pin Ball Jurgan 0.028 Red",
4,6,0,-6,"W035DB","Pin Ball Jurgan 0.035 Dark Blue",
5,6,0,-6,"W045YL","Pin Ball Jurgan 0.045 Yellow",
6,6,0,-6,"W062GN","Pin Ball Jurgan 0.062 Green",
14,1,0,-1,"S200","Screwdriver",
15,6,0,-6,"X003","Pin Ball Jurgan 7/64""-1/8"" White",
"S/N:","004","JURGAN PIN BALLS 4",,,,
8,1,0,-1,"S200","Screwdriver",
9,6,0,-6,"W045YL","Pin Ball Jurgan 0.045 Yellow",
10,6,0,-6,"W062GN","Pin Ball Jurgan 0.062 Green",
11,6,0,-6,"W564BL","Pin Ball Jurgan 5/64"" Lt. Blue",
12,6,0,-6,"W332CR","Pin Ball Jurgan 3/32' Cream",
14,1,0,-1,"S200","Screwdriver",
15,6,0,-6,"X003","Pin Ball Jurgan 7/64""-1/8"" White",
"S/N:","005","JURGAN PIN BALLS 5",,,,
8,1,0,-1,"S200","Screwdriver",
9,6,0,-6,"W045YL","Pin Ball Jurgan 0.045 Yellow",
10,6,0,-6,"W062GN","Pin Ball Jurgan 0.062 Green",
11,6,0,-6,"W564BL","Pin Ball Jurgan 5/64"" Lt. Blue",
12,6,0,-6,"W332CR","Pin Ball Jurgan 3/32' Cream",
14,1,0,-1,"S200","Screwdriver",
15,6,0,-6,"X003","Pin Ball Jurgan 7/64""-1/8"" White",
"S/N:","007","JURGAN PIN BALLS 7",,,,
2,1,0,-1,"S200","Screwdriver",
3,6,0,-6,"W028RD","Pin Ball Jurgan 0.028 Red",
4,6,0,-6,"W035DB","Pin Ball Jurgan 0.035 Dark Blue",
5,6,0,-6,"W045YL","Pin Ball Jurgan 0.045 Yellow",
6,6,0,-6,"W062GN","Pin Ball Jurgan 0.062 Green",
14,1,0,-1,"S200","Screwdriver",
15,6,0,-6,"X003","Pin Ball Jurgan 7/64""-1/8"" White",
"EORT228","S/N:","001","KOLBEL SHOULDER RETRACTOR & INSTRUMENTS 1",,,
6,2,1,-1,"24-6114","Blades Long Narrow",
"EORT235","S/N:","002","LAMINECTOMY KERRISONS/PITUITARYS PAN  3 2",,,
9,1,0,-1,"KM47-730","Cushing Ivd Rongeur 7"" Str 2x10mm",
"EORT239","S/N:","001","LEGACY SPINE INSTRUMENTS ""C""1",,,
8,2,1,-1,"7480131","Driver Provisional Short",
"EORT245","S/N:","001","MCCULLOCH MICRODISCECTOMY SET 1",,,
38,1,0,-1,"NL9708-012","Suction Tip Frazier 12Fr",
"EORT248","S/N:","001","MICRO SET 1",,,
25,2,1,-1,"ST-ABB-11-VB","Clamp Vessel 0.4-1.0mm Black Or Silver (V )",
"EORT252","S/N:","008","MINOR ORTHO 8",,,
33,1,0,-1,"MB576R","Utility Pliers Slip Joint 8"" 10mm",
"EORT267","S/N:","001","NEX/GEN LCCK MICRO ARTICULAR SURFACE TRIAL 1",,,
8,1,0,-1,"5995-37-00","Wrench Tibial Component Assembly",
"EORT270","S/N:","001","NEX/GEN CR FLEX MICRO INSTRUMENTS PAN 30/ 1",,,
9,1,0,-1,"5971-21-10","Nexgen Cr Art Surf Prov 12/strp Prp 10mm",
10,1,0,-1,"5971-21-12","Nexgen Cr Art Surf Prov 12/strp Prp 12mm",
11,1,0,-1,"5971-21-14","Nexgen Cr Art Surf Prov 12/strp Prp 14mm",
12,1,0,-1,"5971-21-17","Nexgen Cr Art Surf Prov 12/strp Prp 17mm",
13,1,0,-1,"5971-21-20","Nexgen Cr Art Surf Prov 12/strp Prp 20mm",
"EORT290","S/N:","001","NEX/GEN PAN B INSTRUMENTS & TRIALS 1",,,
17,6,4,-2,"5061-63","Holding Pin Hex Head (Put In Plastic Box)",
"EORT291","S/N:","001","NEX/GEN PEGGED TIBIAL TRAY PAN C 1",,,
20,1,0,-1,"5971-65-32","Prov Patellar 32mm",
"EORT294","S/N:","001","NEX/GEN TIB AUGMENTATION INST PAN 16/ 1",,,
6,1,0,-1,"6004-27-09","Augment Starter",
54,1,0,-1,"5987-33-01","Revision Wedge Cutter",
"EORT298","S/N:","002","ORTHO BASIC 2",,,
10,4,3,-1,"BH443R","Clamp Pean (Kelly) 6-1/4"" Cvd.",
"S/N:","014","ORTHO BASIC 14",,,,
51,1,0,-1,"FO522R","Echlin Rongeur 9"" 2x10mm",
"EORT300","S/N:","001","ORTHO INCISIONAL BIOPSY TRAY 1",,,
29,1,0,-1,"KM 46-264","Elevator Key 3/4""",
"S/N:","003","ORTHO INCISIONAL BIOPSY TRAY 3",,,,
26,1,0,-1,"53-4000","Decker Rongeur",
"EORT301","S/N:","005","ORTHO MAJOR HAND 5",,,
73,1,0,-1,"FK848R","Bone Curette 8"" Dbl End",
"S/N:","008","ORTHO MAJOR HAND 8",,,,
72,1,0,-1,"FK845R","Bone Curette 5-1/4"" Dbl End",
"S/N:","010","ORTHO MAJOR HAND 10",,,,
72,1,0,-1,"FK845R","Bone Curette 5-1/4"" Dbl End",
"EORT305","S/N:","001","OSTEONICS SCREW INST 1",,,
4,2,1,-1,"2107-1015","Driver Shaft Universal Joint",
"EORT306","S/N:","001","OSTEONICS ACETABULAR CUP INSTRUMENTS 1",,,
30,1,0,-1,"2208-2054","Trial  54mm",
"EORT307","S/N:","001","OSTEONICS AXIAL TAPER REAMERS 1",,,
4,1,0,-1,"1150-0002","Guide Resection",
"EORT320","S/N:","001","OSTEOTOME FLEX DEPUY 1",,,
3,8,6,-2,"2422-42","Blade 1.5"" X 10mm",
"S/N:","003","OSTEOTOME FLEX DEPUY 3",,,,
6,2,1,-1,"2422-31","Blade Cvd  8""x10.5mm",
"EORT323","S/N:","001","PCL KNEE INST 1",,,
21,1,0,-1,"7207282","Acufex Director PCL Tibial Aimer",
"EORT324","S/N:","001","OSTEONICS TRIDENT 0°  ""C""1",,,
14,1,0,-1,"HI-UHRK-3638","Head Disassembly Key 22mm",
"EORT347","S/N:","001","RETR CHARNLEY EXTRA LONG BLADES 1",,,
6,1,0,-1,"7804-01-05","Bladetine Small Box End Short",
"EORT359","S/N:","001","RICHARDS REVISION RADIOLUCENT GUIDE 1",,,
6,2,1,-1,"11-2724","Hex Fixator Tightening Bar W/hdl",
"EORT363","S/N:","001","SCREW ACUTRAK 4/5 1",,,
2,2,1,-1,"HD-2515","Driver Cannulated Hex 2.5mm",
"EORT365","S/N:","001","SCREW ACUTRAK PLUS 1",,,
6,1,0,-1,"AP-0204","Threaded Guide Wire Depth Gauge",
8,6,5,-1,"WS-1609ST","Guide Wire .062  (With 2 Black Measurement Lines)",
"S/N:","002","SCREW ACUTRAK PLUS 2",,,,
6,1,0,-1,"AP-0204","Threaded Guide Wire Depth Gauge",
"EORT379","S/N:","001","SPINAL IMPLANT REMOVAL KIT 1",,,
53,2,1,-1,"RS101006","Extractor 2.5mm",
"EORT387","S/N:","003","S-ROM LONG TRIALS & EXTRACTOR INSTRUMENTS 3",,,
33,1,0,-1,"53-2999","Remover Head Femoral",
"EORT395","S/N:","001","SWANSON FINGER IMPLANT SIZERS 1",,,
33,1,0,-1,"1608-2-131","Point Burr - 2mm",
34,1,0,-1,"1608-2-133","Point Burr - 3mm",
"EORT397","S/N:","001","T/FIX KNOT PUSHER SET 1",,,
2,1,0,-1,"C6112","Knot Pusher Loop Linvatec",
"EORT398","S/N:","001","TENDON PASSER/STRIP ORTHO 1",,,
4,1,0,-1,"10-5208","Stripper Tendon Closed Short",
"EORT402","S/N:","006","HIP SPECIALS 6",,,
7,1,0,-1,"9027-58","Impactor Head",
"EORT413","S/N:","001","TRILOGY 7MM OFFSET ACETABULAR LINER TRIALS 1",,,
4,1,0,-1,"6265-56-28","Trial 56 X 28mm",
15,1,0,-1,"6265-56-32","Trial 56 X 32mm",
"EORT417","S/N:","001","TRILOGY MODULAR ACETABULAR SYSTEM 1",,,
6,2,1,-1,"6611-03-03","Hgp Ii Cup Flex Drill 3.2x45mm",
16,1,0,-1,"6260-14","Forceps  Screw Holding  45 Degree",
"S/N:","004","TRILOGY MODULAR ACETABULAR SYSTEM 4",,,,
9,1,0,-1,"9027-66","Shaft, cup pusher",
"EORT418","S/N:","001","TRILOGY TRABECULAR CUP TRIALS 1",,,
12,1,0,-1,"6242-60","Trial 60mm",
"EORT432","S/N:","002","VERSYS RASP INST/PROV (V3) 2",,,
2,1,0,-1,"5253-71-00","Rasp Standard 9mm (Place In Bottom Of Tray)",
53,1,0,-1,"7895-032-01","Provisional Head -3.5 x 32mm",
"EORT480","S/N:","001","A/O LOW PROFILE PELVIC RETRACTOR 1",,,
10,1,0,-1,"03.100.013","Retractor Sciatic Nerve",
11,1,0,-1,"03.100.014","Retractor Sciatic Nerve Long",
"S/N:","002","A/O LOW PROFILE PELVIC RETRACTOR 2",,,,
10,1,0,-1,"03.100.013","Retractor Sciatic Nerve",
11,1,0,-1,"03.100.014","Retractor Sciatic Nerve Long",
"EORT514","S/N:","001","A/O FLEXIBLE REAMERS VENDOR 1",,,
3,1,0,-1,"03.010.093","Rod Reaming-Push",
