"Below target quantity",,,,,,
"WCLI052","S/N:","002","MINOR TRAY RENAL TX CLINIC 2",,,
7,1,0,-1,"BD222R","Forceps Adson W/O Teeth",
"WENDO013","S/N:","008","LAPSC APPLIER CLIP MICROLINE 8",,,
3,1,0,-1,"3707","Clip Applier Lg",
"WENDO020","S/N:","001","LAPSC DR GOULD NEEDLE DRIVER 1",,,
4,2,1,-1,"250-080-311n","Gator",
"WENT003","S/N:","001","ARCH BARS ENT 1",,,
44,2,1,-1,"LX158R","Wire Cutting Plier Front & Lat 2mm/1.5mm",
"WENT009","S/N:","001","COCHLEAR CI24M 1",,,
3,1,0,-1,"Z33011","Template",
8,2,1,-1,"MI1582","Angled Dilator",
"WENT012","S/N:","001","DILATOR JACKSON 1",,,
4,1,0,-1,"507810","Dilator 10 Fr.",
"WENT013","S/N:","001","DR BLUMIN MICROLARYNGEAL SPECIALS 1",,,
17,1,0,-1,"50-5420","Jackson Alligator Grasper 4mm X 22mm 28Cm",
25,1,0,-1,"50-6870","Suction Open Tip 3mm (Set 2)",
"S/N:","002","DR BLUMIN MICROLARYNGEAL SPECIALS 2",,,,
25,1,0,-1,"50-6870","Suction Open Tip 3mm (Set 2)",
"WENT016","S/N:","002","ENT LARYNGEAL MICRO INSTRUMENTS 2",,,
2,2,1,-1,"LS1023","Ossoff Karlan Microlaryng Suction 4mm",
5,1,0,-1,"605173","Dissector Laryngeal Small",
7,1,0,-1,"605174","Dissector Laryngeal Medium",
"S/N:","003","ENT LARYNGEAL MICRO INSTRUMENTS 3",,,,
2,2,1,-1,"LS1023","Ossoff Karlan Microlaryng Suction 4mm",
"WENT017","S/N:","001","DR RHEE NASAL 1",,,
23,2,1,-1,"BD883R","Gruenwald Bayo Forceps 8"" Serr",
31,1,0,-1,"420-135","Maltz Nasal Rasp 7-1/2"" Coarse",
42,1,0,-1,"410-308","Cinelli Osteotome 6-1/4"" Str Dbl-guard16mm",
61,1,0,-1,"N2306","Ballenger Chisel 6"" Str V-shp 6mm",
83,1,0,-1,"400-160","Forceps Hartmann Nasal Dressing  7"" Str Del",
86,1,0,-1,"11-303","Fcp  Tru-Cut Nasal Forceps",
"S/N:","002","DR RHEE NASAL 2",,,,
92,1,0,-1,"405-180","Asch Septum Straightening Forceps 9"" Ang",
95,1,0,-1,"13-0130","Block Teflon",
"WENT018","S/N:","001","DR RHEE SOFT TISSUE 1",,,
13,2,1,-1,"P2440","Castroviejo (5.5)",
33,2,0,-2,"E1500","Bishops",
39,1,0,-1,"12-0045","Joseph Hook 6-1/2""  2-prng 5mm",
"S/N:","002","DR RHEE SOFT TISSUE 2",,,,
13,2,1,-1,"P2440","Castroviejo (5.5)",
68,1,0,-1,"P391","Facelift Marker  D'Assumpcao (6')",
"WENT020","S/N:","001","DR WOODSON SLEEP APNEA 1",,,
49,1,0,-1,"N6215","Retractor - Love",
55,1,0,-1,"3E2020-01","Evac Bending Tool",
"S/N:","002","DR WOODSON SLEEP APNEA 2",,,,
18,1,0,-1,"101-266","Nelson Metzenbaum Scissors Tc 9"" Str",
21,1,0,-1,"100-297","Reynolds Scissors 7"" Cvd Narrow Tip",
36,1,0,-1,"166503","Probe  6""",
"S/N:","003","DR WOODSON SLEEP APNEA 3",,,,
36,1,0,-1,"166503","Probe  6""",
"WENT021","S/N:","001","EAR INST ENT 1",,,
38,2,1,-1,"N0613","Suction Tip 7 Fr",
"S/N:","004","EAR INST ENT 4",,,,
26,1,0,-1,"R131030","Block Cutting",
34,1,0,-1,"6710-190-012","Silverglide Bipolars",
36,2,1,-1,"N0608","Baron Suction 3"" 3fr",
51,2,1,-1,"N1690-11G","Rosen Suction #20 ( Needle)",
54,2,1,-1,"N1690-11J","Rosen Suction #26 ( Needle)",
55,2,1,-1,"N1705-O","House Adaptor Cut-off",
"WENT022","S/N:","001","EAR TUBE INSERTION 1",,,
23,2,1,-1,"411700","Suction - 3 Fr",
"S/N:","002","EAR TUBE INSERTION 2",,,,
14,1,0,-1,"270100","Curette Ring",
23,2,1,-1,"411700","Suction - 3 Fr",
"WENT023","S/N:","001","EDENTULATION ENT 1",,,
26,1,0,-1,"460-105","Laryngeal Mirror 7"" 22mm Hex Handle #4 (Dental)",
40,2,1,-1,"B-954-L-T-154","Bite-Block Adult",
41,2,1,-1,"B-952-M-T-152","Bite-Block Child",
"WENT024","S/N:","001","ENDOSCOPIC SINUS ENT 1",,,
30,1,0,-1,"586240","Eicken Antrum Cannula Cvd W/l.l. 4mm",
56,1,0,-1,"053135","Cottle Elevator 9"" D/E Graduted",
59,1,0,-1,"466151","Forceps Bayonet",
106,1,0,-1,"23-0868","Weil Blakesley Suction Forceps Ped 45° Up 2.5x5.5mm",
109,1,0,-1,"653000","Forceps Grasping Cvd 90° ( 5-6)",
"S/N:","002","ENDOSCOPIC SINUS ENT 2",,,,
35,1,0,-1,"529305","Suction Frazier Tube 5fr Cailibrated",
46,2,1,-1,"030101","Vienna Nasal Speculum #1",
80,1,0,-1,"455500","Forceps Takahashi     (1 - 1)",
"S/N:","003","ENDOSCOPIC SINUS ENT 3",,,,
55,2,1,-1,"355194","Elevator Freer",
68,1,0,-1,"051150","Cottle Osteotome Rounded 4mm",
"WENT025","S/N:","001","EYE INST ENT 1",,,
5,1,0,-1,"456006","Knife Handle Beaver 10Cm",
9,2,0,-2,"3372","Fcp  Bishops - Del. Teeth  (3.3                       #11",
11,2,1,-1,"E6760","Fcp  Fine - Smooth                                           #12",
13,2,1,-1,"3442","Fcp  Points - .3  (4 1/4')                                   #14",
30,3,1,-2,"4130","Needle Holder  Castroviejo Locking  5-1/2""   #25",
40,1,0,-1,"005600","Knapp Lacrimal Sac Retractor",
42,1,0,-1,"421660","Retractor Rake  #32",
44,3,1,-2,"OP2321","Oconner Hook 5-1/2"" S/",
52,2,0,-2,"0230","Bulldog Serraphine ( Storz #41)",
53,2,0,-2,"E3000","Bulldog Serraphine                                   #41",
54,1,0,-1,"N613","Suction Handle #7 Micro",
55,1,0,-1,"N608","Suction Tip 3 Fr",
"WENT028","S/N:","001","FIBULA FLAP/ENT 1",,,
62,1,0,-1,"FK310R","Joseph Elevator 6-1/4"" Cvd 4mm",
"WENT030","S/N:","001","HELIX/ENT 1",,,
5,1,0,-1,"CI-4420","Bte/Device Marking Template",
"WENT038","S/N:","001","KARTUSCH ENT 1",,,
12,2,1,-1,"13-52415","Cable",
"WENT044","S/N:","001","LACRIMAL/ENT 1",,,
9,2,1,-1,"E4220","Quickert Lacrimal Probe #0",
11,1,0,-1,"E4406","Cannula - Lacrimal (2') - Pkg Separately",
31,1,0,-1,"N5793","Storz Wire Cutting Scissors",
34,1,0,-1,"SU6000","Bainbridge Intestinal Forceps 6 Str",
"WENT051","S/N:","001","MICRO ENT 1",,,
7,1,0,-1,"MR3875030","Scissors Rhoton Str 18cm",
17,2,0,-2,"MIHD-DB","Clamp Vascular W/O Frame (Black)",
"WENT058","S/N:","001","OTOLOGY BIPOLARS ENT 1",,,
3,1,0,-1,"80-2985","Bipolar- Bayonet-0.25 mm",
"WENT059","S/N:","001","OTOLOGY SPECIALS ENT 1",,,
19,1,0,-1,"13-18305","Rasp Dura Ang 5mm",
23,1,0,-1,"456006","Knife Handle Beaver 10Cm",
25,1,0,-1,"AU12950","Knife Flap Mccabe",
27,1,0,-1,"12-07001","Ruler",
37,1,0,-1,"N0605-5","Brackmann Suction 5fr",
38,1,0,-1,"N0605-7A","Brackmann Suction 7fr",
47,1,0,-1,"N1690 11E","Suction - 18 Gauge",
56,1,0,-1,"12-17300","Forceps Micro Bayonet 0.2mm",
57,1,0,-1,"80-2930","Malis Bipolar Forceps Down Angle",
62,1,0,-1,"13-19240","Micro Cup Forceps 5-1/8 Str",
"WENT063","S/N:","002","POW DRILL ANSPACH EMAX 2",,,
9,2,1,-1,"SHORT","Attachment Short 5cm",
"S/N:","003","POW DRILL ANSPACH EMAX 3",,,,
10,2,1,-1,"MEDIUM","Attachment Medium 8cm",
"S/N:","004","POW DRILL ANSPACH EMAX 4",,,,
6,1,0,-1,"0415","Rack Burr",
"WENT066","S/N:","001","POW DRILL SKEETER/ENT 1",,,
14,1,0,-1,"31-55646","Oto-flex Diamond Burr 0.6mm Blue/white",
"WENT069","S/N:","003","RADICAL NECK/ENT 3",,,
54,1,0,-1,"0419","Rongeur 7""",
"WENT070","S/N:","001","RETR CHEEK/ENT 1",,,
7,2,1,-1,"01-7725","Obwegeser Retractor Dn 10x42mm",
"WENT076","S/N:","003","SCOPE DIRECT/ENT 3",,,
26,1,0,-1,"507121","Suction - Micro - 6 Fr (23Cm)",
"S/N:","006","SCOPE DIRECT/ENT 6",,,,
17,1,0,-1,"506472","Fcp - Alligator W/Teeth (23Cm)",
"WENT079","S/N:","005","SCOPE LARYN TELE/ENT 5",,,
3,1,0,-1,"10005AA","Scope 0° Medium ( Storz 27005)",
"WENT083","S/N:","002","SCREWDRIVER UNIVERSAL TIP/ENT 2",,,
5,1,0,-1,"50-425-13","Universal Screwdriver Blade #3 F/universal Screw Removal System",
10,1,0,-1,"50-425-18","Universal Screwdriver Blade #8 F/universal Screw Removal System",
16,1,0,-1,"50-425-24","Scredriver Universal Hex",
"WENT084","S/N:","001","SEPTOPLASTY/ENT 1",,,
23,2,1,-1,"203835","Suction Tube 11cm 3.5mm Ang Conicaltip",
"S/N:","002","SEPTOPLASTY/ENT 2",,,,
71,1,0,-1,"OK372R","Scissors Foman Dorsal Angled",
73,1,0,-1,"BC157R","Joseph Scissors 6"" Cvd S/s",
"S/N:","003","SEPTOPLASTY/ENT 3",,,,
23,2,1,-1,"203835","Suction Tube 11cm 3.5mm Ang Conicaltip",
35,1,0,-1,"SU10811550","Probe",
45,1,0,-1,"036112","Ballenger Swivel Knife 7-1/2"" Str 5mm",
"WENT087","S/N:","003","SINUS FRONTAL KENNEDY ENT 3",,,
13,1,0,-1,"MCSK5","Kennedy Mallable Suction 6 Fr.",
19,1,0,-1,"MCEN133","Wormald Elevator Mallable Suction Blunt",
"WENT101","S/N:","001","TONSIL #2/ENT 1",,,
17,1,0,-1,"072103","Barnhill Adenoid Curette #3",
"WENT102","S/N:","002","TRU CUT INST 2",,,
6,1,0,-1,"11-501","3.5 Gold Sphenoid Punch",
"WENT104","S/N:","001","SCOPE ZENKER ENT 1",,,
9,1,0,-1,"507031","35 Cm Open-End Suction Tube",
10,1,0,-1,"507011","35 Cm  Open-End Suction Tube",
"WENT107","S/N:","001","DR MASSEY MICRO 1",,,
16,2,0,-2,"MI1540","Needle Holder Tish Str W/tying Platform 6""",
24,2,1,-1,"MIHD-SB","Clamp Vascular Single Black 1.5-3.5mm",
"WENT108","S/N:","003","DR MASSEY SPEC 3",,,
2,4,2,-2,"PR733","Clamp Mosquito Jacobson Cvd 5"" (very delicate)",
7,1,0,-1,"P6848","Scissors Jamison Supercut 7""",
8,1,0,-1,"ST-SAA-18","Potts Scissors 18cm Ang 45° Flat Hdl",
13,2,0,-2,"801910","Retr Miccoli Tissue Double Ended",
23,2,0,-2,"MDS11.308.20","Forceps Atraumatic Debakey Str",
"WENT112","S/N:","001","SCOPE STEINER 1",,,
5,1,0,-1,"8661P","Adaptor for Suction Tubes",
"WENT124","S/N:","003","MALLEABLES ENT 3",,,
2,1,0,-1,"380-202","Spatula Davis Brain 7""x 3/8"" Malleable  9mm",
"WENT132","S/N:","001","ORAL MASS TRAY ENT 1",,,
29,1,0,-1,"053135","Cottle Elevator 9"" D/E Graduted",
"S/N:","002","ORAL MASS TRAY ENT 2",,,,
12,2,0,-2,"BM051R","Debakey Needle Holder Tc 7-3/4""",
"WENT138","S/N:","001","DR MASSEY BIEMERS 1",,,
7,2,1,-1,"ASSI-ABB3V","Clamp Vascular W/Frame 1.0-2.25mm",
"WENT144","S/N:","004","POW REM B STRYKER ENT/ORAL DRILL 4",,,
9,1,0,-1,"6400-37","RemB Reciprocating Handpiece",
"S/N:","006","POW REM B STRYKER ENT/ORAL DRILL 6",,,,
20,3,2,-1,"5100-9","Handswitch",
"WENT160","S/N:","002","DR STADLER MICRO SPECIALS ENT 2",,,
35,1,0,-1,"SDC-18R-10","Scissors Castroviejo Micro Round Cvd 18Cm",
"WENT162","S/N:","001","DR STADLER SPECIALS 1",,,
2,1,0,-1,"SU2380","Tissue Forceps 6"" 1x2/th Serr",
10,1,0,-1,"N-4660","Elevator Cottle",
15,1,0,-1,"MD613","Andrews Pynchon Suction Tube  9""",
"WENT176","S/N:","001","SIALENDOSCOPY SET 1",,,
6,1,0,-1,"745708","Bougie 1.0MM",
"WENT188","S/N:","002","MINOR SINUS TRAY 2",,,
20,1,0,-1,"660500","Knife  Sickle - Pointed",
28,1,0,-1,"431112","Vienna Nasal Speculum 5-1/2"" Large #3",
"WENT196","S/N:","001","DR WOODSON INSPIRE SPECIALS 1",,,
4,1,0,-1,"140-223","Right Angle Fine Pointed",
"WENT197","S/N:","002","COCHLEAR CI500 ENT 2",,,
1,1,0,-1,"Z33011","Template",
"WFLO018","S/N:","001","VENOUS CUTDOWN TRAY SICU 1",,,
3,3,2,-1,"BH111R","Clamp Mosquito Cvd 5""",
"WGEN004","S/N:","002","DR CHRISTIANS SPECIALS  2",,,
12,1,0,-1,"342222","Jamison Metzenbaum Scissors 8"" Cvd",
"WGEN005","S/N:","001","EXTRA LONG INSTRUMENTS/GENERAL 1",,,
4,2,1,-1,"30-4701","Clamp Meeker Intestinal  10-3/4"" Rt Ang",
13,2,1,-1,"0123","Forceps Cushing w/Teeth 14"" ( Mueller 217727)",
"WGEN010","S/N:","001","MAJOR VASCULAR GENERAL 1",,,
21,1,0,-1,"GF923R","Frazier Suction W/ Luer Hub 4"" 9fr",
24,2,0,-2,"164865","Retractor Vein 9'",
36,2,0,-2,"FB329R","Clamp Bulldogs Baby Curved",
42,1,0,-1,"FB161R","Debakey Dilator 7-1/2"" Mall 1mm",
43,1,0,-1,"FB162R","Debakey Dilator 7-1/2"" Mall 1.5mm",
44,1,0,-1,"FB163R","Debakey Dilator 7-1/2"" Mall 2mm",
45,1,0,-1,"FB164R","Debakey Dilator 7-1/2"" Mall 2.5mm",
46,1,0,-1,"FB165R","Debakey Dilator 7-1/2"" Mall 3mm",
47,1,0,-1,"FB166R","Debakey Dilator 7-1/2"" Mall  3.5mm",
48,1,0,-1,"FB167R","Debakey Dilator 7-1/2"" Mall 4mm",
49,1,0,-1,"FB168R","Debakey Dilator 7-1/2"" Mall 4.5mm",
50,1,0,-1,"FB169R","Debakey Dilator 7-1/2"" Mall 5mm",
52,2,0,-2,"237-111","Appliers Hemoclip Med",
53,2,0,-2,"437-111","Appliers Hemoclip Lg",
"S/N:","002","MAJOR VASCULAR GENERAL 2",,,,
42,1,0,-1,"FB161R","Debakey Dilator 7-1/2"" Mall 1mm",
43,1,0,-1,"FB162R","Debakey Dilator 7-1/2"" Mall 1.5mm",
49,1,0,-1,"FB168R","Debakey Dilator 7-1/2"" Mall 4.5mm",
"S/N:","003","MAJOR VASCULAR GENERAL 3",,,,
42,1,0,-1,"FB161R","Debakey Dilator 7-1/2"" Mall 1mm",
"WGEN030","S/N:","001","SCOPE PROCTO RIG REUSE  1",,,
4,1,0,-1,"0570","Anascope W/Obturator",
7,1,0,-1,"30200","Insufflation Bulb/bladder/net And Tubing",
"WGEN033","S/N:","006","THYROID 6",,,
43,2,1,-1,"N4740","Penn Hook Swiv",
"WGEN038","S/N:","001","WHIPPLE 1",,,
25,1,0,-1,"310-383","Needle Heparin 2"" Tip 3mm",
28,1,0,-1,"355091","Garrett Dilator 1mm 22Cm",
"WGEN071","S/N:","002","U/S PROBE B/K LAPSC  2",,,
2,1,0,-1,"UA1166","Sheath BK",
"WGEN086","S/N:","001","HIPEC PAN  1  1",,,
17,2,1,-1,"AN909R","Tubing Clamp 6-1/2""",
"WGEN089","S/N:","001","DILATOR HEGAR GEN LASER 1",,,
1,1,0,-1,"212","Dilator Hegar Laser 3/4mm",
"WNEU002","S/N:","001","ANTERIOR CERVICAL FUSION NEURO 1",,,
20,1,0,-1,"0112","Impactor Small Round (Modified Zimmer)",
"S/N:","004","ANTERIOR CERVICAL FUSION NEURO 4",,,,
20,1,0,-1,"0112","Impactor Small Round (Modified Zimmer)",
"WNEU003","S/N:","001","APFELBAUM INST NEURO 1",,,
4,1,0,-1,"FF996","Impactor",
7,2,1,-1,"FF967","Posterior Twist Drill",
8,2,1,-1,"FF978","Anterior Twist Drill",
32,2,1,-1,"BV773","45 X 23 mm",
"WNEU007","S/N:","001","BEERE HARDWARE REMOVAL TRAY 1",,,
52,1,0,-1,"CD101011","Driver 4 Prong Stryker",
"S/N:","002","BEERE HARDWARE REMOVAL TRAY 2",,,,
62,1,0,-1,"RS101008","Extractor 3.5mm",
"WNEU017","S/N:","001","CRANIOTOMY 1",,,
4,12,10,-2,"0139","Towel Clip Plastic ( blue or orange) not disposible",
"S/N:","004","CRANIOTOMY 4",,,,
32,2,1,-1,"MD112","Davis Brain Spatula  Mall  7x3/8""",
"S/N:","005","CRANIOTOMY 5",,,,
14,2,1,-1,"0573","Retractor Green",
41,1,0,-1,"80-2986","Micro Irrigating Bipolar  Insulated",
"S/N:","006","CRANIOTOMY 6",,,,
34,1,0,-1,"MD114","Davis Brain Spatula  Mall  7x5/8""",
"WNEU023","S/N:","001","DBS ACCESSORY 1",,,
37,1,0,-1,"311.007","Screwdriver Handle W/Hex Lg",
41,1,0,-1,"1006472","Screwdriver Instrument",
"S/N:","002","DBS ACCESSORY 2",,,,
38,1,0,-1,"0162","Screwdriver Tip Self Retaining (UP43367 Synthes)",
"WNEU031","S/N:","001","DR KURPAD SPECIALS 1",,,
6,1,0,-1,"IN00137","Bipolar Tip  Irrig  Down Angled  Insulated",
21,1,0,-1,"01-17783","Elevator Obwegeser Flat 9mm",
"S/N:","002","DR KURPAD SPECIALS 2",,,,
9,1,0,-1,"80-1907","Micro Scissors  Long  Straight  Bayonetted",
10,1,0,-1,"80-1525","Scissors Micro Bayonetted Long  Curved",
11,1,0,-1,"80-1520","Scissors Micro Short  Straight",
12,1,0,-1,"80-1521","Scissors Micro Short  Curved",
14,2,1,-1,"GF355R","Fergusson Suction 14Fr",
"WNEU036","S/N:","001","DR MUELLER SPECIALS 1",,,
8,1,0,-1,"SP00191-1","Malis Tissue Forceps",
"S/N:","002","DR MUELLER SPECIALS 2",,,,
22,2,1,-1,"NL3785-188","Rhoton Merz Suction Tube 4"" 10fr",
29,1,0,-1,"313.916","Screwdriver Blade",
"S/N:","003","DR MUELLER SPECIALS 3",,,,
8,1,0,-1,"SP00191-1","Malis Tissue Forceps",
23,1,0,-1,"8010010H","Iso-Cool Bipolar Tips",
25,1,0,-1,"80-2988","Malis Bipol Irrig Fcps Titn 8-3/4"" Bayo 1.5mm",
29,1,0,-1,"313.916","Screwdriver Blade",
"WNEU044","S/N:","002","DR WOLFLA DURAL REPAIR 2",,,
3,2,1,-1,"35-1835","Forceps",
4,2,0,-2,"H-0101","Forceps Gerald with Teeth 7""",
"WNEU045","S/N:","001","DR WOLFLA SPECIALS PAN 1 1",,,
4,1,0,-1,"0644","Wrench Allen 3/32""",
44,5,4,-1,"780","Pedicle Marker Single Lumbar ( Custom Made TRE)",
"S/N:","002","DR WOLFLA SPECIALS PAN 1 2",,,,
8,1,0,-1,"50-1086","Retractor Taylor Spinal 4""",
"WNEU046","S/N:","001","DR WOLFLA SUPPLEMENT 1",,,
5,1,0,-1,"803-291","Probe Ang",
9,1,0,-1,"389.55","Elevator Periosteal Long Round Wood Handle 20mm",
20,1,0,-1,"0263","Awl T Handled Steinman Pin Short (Purple Orange)",
"WNEU048","S/N:","001","EPILEPSY 1",,,
7,1,0,-1,"0887","8 Contact Leadwire (Adtech)",
8,4,3,-1,"0206","4 Contact Leadwire Numbered 1 thru 4 (Adtech)",
"S/N:","002","EPILEPSY 2",,,,
8,4,2,-2,"0206","4 Contact Leadwire Numbered 1 thru 4 (Adtech)",
"S/N:","003","EPILEPSY 3",,,,
8,4,3,-1,"0206","4 Contact Leadwire Numbered 1 thru 4 (Adtech)",
"S/N:","004","EPILEPSY 4",,,,
2,1,0,-1,"OCS-P","Stimulator Probe Ojemann Cortical",
"WNEU049","S/N:","001","EPILESY HEAD FRAME 1",,,
5,4,3,-1,"0211","Electrode Long",
6,4,3,-1,"0212","Electrode Extra Long",
"S/N:","002","EPILESY HEAD FRAME 2",,,,
3,4,2,-2,"0209","Electrode Short",
5,4,2,-2,"0211","Electrode Long",
6,4,3,-1,"0212","Electrode Extra Long",
"WNEU050","S/N:","002","FEHLING CRANIAL MICRO INSTRUMENTS 2",,,
6,1,0,-1,"NUM-7","2mm Ring Currette  Angled  Short  160mm",
"WNEU051","S/N:","001","GENERIC HARDWARE REMOVAL 1",,,
19,1,0,-1,"10627","Socket 3/8"" 14mm",
25,1,0,-1,"10589","T - Handle  3/8"" Socket Wrench",
46,1,0,-1,"11972","Allen Wrench 3/32"" (Hex Key)",
55,1,0,-1,"11982","Allen Wrench 3/8"" (Hex Key)",
"WNEU053","S/N:","001","HEADHOLDER RETR SUGITA OLD 1",,,
15,8,7,-1,"571","Slide Adjuster Brackets",
"WNEU059","S/N:","001","IMPL APFELBAUM SCREWS 1",,,
39,2,0,-2,"FF978","Anterior Twist Drill",
"WNEU063","S/N:","004","VEND SYNTHES IMPL CRANIAL SET/NEURO ""C"" 4",,,
17,5,3,-2,"421.502","Plate Syn Crani Str  2 Hole",
"WNEU066","S/N:","001","IMPL SYNTHES MESH/NEURO ""C"" 1",,,
13,1,0,-1,"313.932","Screwdriver Blade Med Hxc",
"WNEU067","S/N:","001","IMPL SYNTHES SMALL STATURE ""C"" 1",,,
27,1,0,-1,"497.78","Rack Of Set Screws",
28,1,0,-1,"487.04","Rack Of Regular Screws",
29,1,0,-1,"488.814","Rack Of Emergency Screws",
"WNEU074","S/N:","001","VEND MEDTRONIC METRX CERVICAL/NEURO ""C"" 1",,,
5,1,0,-1,"9560757","Metrx Disp.Light Source Expandable Retractor - 25mm",
"WNEU077","S/N:","001","VEND MEDTRONIC METRX X-TUBES/NEURO ""C"" 1",,,
2,1,0,-1,"955-519","Disposable Guide Wire",
27,1,0,-1,"9560694","Metrx Case Lid",
"WNEU086","S/N:","001","NEURO ANTERIOR LUMBAR 1",,,
14,1,0,-1,"MD492","Ferris-Smith Tissue Forceps",
"WNEU087","S/N:","001","NEURO ARM INSTRUMENTS 1",,,
14,1,0,-1,"KM 35-382","Scissors Supercut Metzenbaum  6"" Cvd",
"WNEU089","S/N:","001","NEURO DEEP INSTRUMENTS 1",,,
4,2,1,-1,"C308082","Scanlons  Long",
26,1,0,-1,"83012021","Kerrison Rongeur Long 90° 2mm",
28,1,0,-1,"83012051","Kerrison Rongeur Long 90° 5mm",
"WNEU090","S/N:","003","NEURO MICRO 3",,,
11,2,1,-1,"N610LL","Suct Micor    # 5",
14,2,0,-2,"HY23096","Irrg Micro Adaptor",
15,2,0,-2,"AU15240","Irrg Micro  Needle 20 Gauge",
"S/N:","004","NEURO MICRO 4",,,,
14,2,0,-2,"HY23096","Irrg Micro Adaptor",
15,2,0,-2,"AU15240","Irrg Micro  Needle 20 Gauge",
"S/N:","005","NEURO MICRO 5",,,,
14,2,0,-2,"HY23096","Irrg Micro Adaptor",
"WNEU091","S/N:","003","NEURO SPINE SET 3",,,
9,1,0,-1,"801002","Hudson Brace Extension W/ Allen Wrench",
"S/N:","008","NEURO SPINE SET 8",,,,
3,2,0,-2,"130175","Tissues W/ Teeth 10""",
"S/N:","010","NEURO SPINE SET 10",,,,
5,1,0,-1,"NL2760","Davis Elevator  Wide",
"WNEU093","S/N:","006","OSTEOTOME NEURO 6",,,
2,1,0,-1,"250-250","Lambotte Osteotome 9"" Str 6mm",
"WNEU094","S/N:","003","POSTERIOR FUSION SET 3",,,
6,1,0,-1,"202549","Pedicle Finder (Probe)",
14,1,0,-1,"0455","Impactor Sm Round (modified)",
"S/N:","007","POSTERIOR FUSION SET 7",,,,
14,1,0,-1,"0455","Impactor Sm Round (modified)",
